processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation,cluster
8062247622,-7.9850618,-34.928266,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,7.4,0.2,41.0,3
8063124522,-7.975520999999999,-34.9171405,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,14.2,1.4,47.0,3
8027019221,-7.9985079,-34.9254028,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,5.3,0.6,66.0,7
8066332822,-7.988,-34.9265617,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,21.9,6.2,75.0,4
8028758122,-8.1149907,-34.9564438,PV1,20 a 100m,10 a 30º,0 a 60%,Media,12.4,2.3,47.0,0
8065683122,-7.986999200000001,-34.9246531,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,4.7,0.1,42.0,7
8069028021,-8.120059,-34.9503909,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,10.8,0.4,38.0,0
8065655822,-7.992401199999999,-34.9255806,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,4.7,0.2,25.0,7
8019931821,-7.9988949,-34.9151468,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,5.4,0.3,42.0,3
8068945722,-7.993732799999999,-34.9251928,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,8.0,0.0,25.0,3
8071567022,-8.016644099999999,-34.9086105,A2,20 a 100m,10 a 30º,0 a 60%,Media,14.5,0.2,42.0,1
8053562022,-7.986830100000001,-34.9287666,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.4,47.0,3
8030336322,-8.018821899999999,-34.9591573,A2,20 a 100m,10 a 30º,0 a 60%,Media,10.1,0.2,7.0,1
8053972322,-7.982448900000001,-34.9310228,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.1,0.3,61.0,5
8028575422,-8.120059,-34.9503909,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,12.4,1.4,38.0,0
8056873622,-7.9856839,-34.9285624,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,35.6,0.0,47.0,3
8027371622,-8.011754999999999,-34.9519781,A2,20 a 100m,10 a 30º,0 a 60%,Media,20.8,1.5,34.0,1
8056663122,-7.9822024,-34.9154984,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,35.6,0.0,30.0,3
8055917022,-7.991006400000001,-34.9278584,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,83.0,5.2,31.0,4
8015990822,-8.0121817,-34.953143,A2,0 a 40m,0 a 5º,0 a 15%,Media,3.5,0.0,21.0,2
8056248422,-7.985009799999998,-34.9282226,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,83.0,0.2,41.0,3
8057242022,-7.985009799999998,-34.9282226,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,12.7,0.6,41.0,3
8056108822,-8.0033482,-34.9148006,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,83.0,0.6,25.0,3
8076109121,-8.0152114,-34.8984777,A2,20 a 100m,10 a 30º,0 a 60%,Media,3.0,0.3,36.0,1
8070534221,-8.1289205,-34.9458192,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,13.4,0.2,35.0,0
8062305622,-8.019477199999999,-34.940449,A2,20 a 100m,10 a 30º,0 a 60%,Media,7.4,0.2,20.0,1
8063181922,-8.0253497,-34.9300481,A2,20 a 100m,10 a 30º,0 a 60%,Media,14.2,1.1,17.0,1
8071107922,-8.0253497,-34.9300481,A2,20 a 100m,10 a 30º,0 a 60%,Media,49.1,4.0,17.0,4
8056597922,-7.9909874,-34.9280771,LVd4,0 a 40m,0 a 5º,0 a 15%,Media,35.6,0.0,31.0,2
8062243022,-8.1181694,-34.9580363,PV1,20 a 100m,10 a 30º,0 a 60%,Media,7.4,0.2,40.0,0
8056255022,-8.0196632,-34.9405187,A2,20 a 100m,10 a 30º,0 a 60%,Media,83.0,0.2,20.0,1
8054040722,-8.0253497,-34.9300481,A2,20 a 100m,10 a 30º,0 a 60%,Media,4.1,0.1,17.0,1
8066673022,-8.1244201,-34.9566558,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,0.6,0.1,65.0,0
8034002421,-8.124225299999999,-34.9584464,A2,20 a 100m,10 a 30º,0 a 60%,Alta,2.3,0.1,22.0,7
8053596122,-7.985009799999998,-34.9282226,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.4,41.0,3
8052577322,-7.993732799999999,-34.9251928,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,20.2,1.3,25.0,3
8052543122,-7.9862098,-34.9286839,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.3,47.0,3
8054572922,-7.985009799999998,-34.9282226,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.1,0.0,41.0,3
8006768422,-8.0115521,-34.9521723,A2,20 a 100m,10 a 30º,0 a 60%,Media,2.0,0.1,21.0,1
8052531322,-8.0033482,-34.9148006,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.3,25.0,3
8053358322,-7.986473999999999,-34.9286265,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.0,47.0,3
8013377921,-8.000905000000001,-34.90936,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,0.5,0.1,55.0,7
8053337622,-7.9849966,-34.9303057,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.2,61.0,5
8055558121,-8.0156168,-34.8954257,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,1.5,0.0,42.0,6
8053779922,-7.979957099999999,-34.9151219,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.6,66.0,5
8052925122,-7.9862669,-34.9287602,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.5,47.0,3
8043342921,-8.0153956,-34.9030725,A2,20 a 100m,10 a 30º,0 a 60%,Media,17.8,0.1,47.0,1
8055771522,-7.9909414,-34.9281033,LVd4,0 a 40m,0 a 5º,0 a 15%,Media,83.0,7.5,31.0,2
8043922521,-8.0194685,-34.897211,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,19.0,0.4,21.0,6
8043825021,-8.0165393,-34.9039534,A2,20 a 100m,10 a 30º,0 a 60%,Media,19.0,1.7,47.0,1
8113505921,-8.011754999999999,-34.9519781,A2,20 a 100m,10 a 30º,0 a 60%,Media,7.7,0.5,34.0,1
8045593921,-8.015897899999999,-34.8949701,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,6.1,0.0,42.0,6
8051637222,-7.9889921,-34.924604,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,17.1,0.3,40.0,3
8051672222,-7.9889921,-34.924604,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,17.1,0.5,40.0,3
8054057722,-7.9861936,-34.9286273,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.1,0.1,47.0,3
8070615221,-8.1208537,-34.9395867,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,13.4,0.3,76.0,7
8043592521,-8.01674,-34.8939689,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,19.0,0.6,17.0,6
8071009921,-8.1328684,-34.9532741,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,7.3,0.3,41.0,0
8054052522,-7.985009799999998,-34.9282226,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.1,0.1,41.0,3
8017174521,-8.0014722,-34.9140585,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,6.0,0.4,55.0,5
8044341422,-7.9907959,-34.9280735,LVd4,0 a 40m,0 a 5º,0 a 15%,Media,7.1,0.6,31.0,2
8054016922,-7.9763141,-34.9169703,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.1,0.0,47.0,3
8052716322,-7.986465699999999,-34.9262731,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.5,83.0,5
8033480021,-8.1339408,-34.946557,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,10.3,0.2,43.0,0
8059196522,-7.987411,-34.9280032,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,19.8,0.5,47.0,3
8039699321,-8.0126233,-34.9024076,A2,20 a 100m,10 a 30º,0 a 60%,Media,3.6,0.1,62.0,1
8066372022,-8.1354531,-34.9545501,A2,20 a 100m,10 a 30º,0 a 60%,Media,21.9,0.4,14.0,0
8058134622,-7.993732799999999,-34.9251928,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,12.7,0.7,25.0,3
8059084222,-7.9850545,-34.9301999,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,19.8,0.0,61.0,5
8058985622,-7.9831015,-34.9215944,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,19.8,0.0,37.0,3
8030744621,-8.110025799999999,-34.9567032,PV1,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.6,58.0,0
8060301322,-8.1239439,-34.952702,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,2.3,0.1,66.0,0
8037882521,-8.014467,-34.8964226,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,4.0,0.0,23.0,6
8081011621,-8.0121817,-34.953143,A2,0 a 40m,0 a 5º,0 a 15%,Media,1.5,0.0,21.0,2
8057871722,-7.9764595,-34.9174021,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,12.7,0.1,47.0,3
8086364421,-8.0092197,-34.95313,A2,20 a 100m,10 a 30º,0 a 60%,Media,5.4,0.5,28.0,1
8035263621,-8.009922399999999,-34.892402,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,1.6,0.1,53.0,6
8058769122,-7.982264499999999,-34.9296572,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,19.8,1.5,61.0,5
8057677622,-7.985009799999998,-34.9282226,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,12.7,0.1,41.0,3
8061000722,-8.1208537,-34.9395867,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,26.5,4.6,76.0,7
8040027322,-7.9764595,-34.9174021,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.4,0.0,47.0,3
8071579021,-8.01557,-34.956489,A2,0 a 40m,0 a 5º,0 a 15%,Media,7.3,0.2,17.0,2
8027891022,-7.9848035,-34.9278282,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,19.1,0.9,41.0,3
8030981821,-8.0154844,-34.8997341,A2,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.2,36.0,1
8030959221,-8.0092038,-34.8953788,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,9.6,1.0,45.0,6
8069356721,-8.0105183,-34.9524605,A2,20 a 100m,10 a 30º,0 a 60%,Media,1.6,0.1,21.0,1
8027541922,-8.126436,-34.9451454,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,19.1,0.3,36.0,0
8021401022,-7.984403199999999,-34.931277,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,30.3,0.2,48.0,3
8029863322,-8.016644099999999,-34.9086105,A2,20 a 100m,10 a 30º,0 a 60%,Media,1.7,0.1,42.0,1
8006644322,-7.9850618,-34.928266,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,0.8,0.0,41.0,3
8112204521,-7.988099999999999,-34.9268757,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,2.0,0.1,75.0,5
