processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation
8060330322,-8.0230888,-34.925025,A2,20 a 100m,10 a 30º,0 a 60%,Baixa,2.3,0.1,26.0
8070312021,-8.002590099999999,-34.9138452,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,13.4,1.6,58.0
8068042722,-8.1191084,-34.9426053,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,1.2,0.0,41.0
8064421322,-8.107328899999999,-34.9571148,PV1,20 a 100m,10 a 30º,0 a 60%,Baixa,0.1,0.0,38.0
8057615022,-8.1107391,-34.9478801,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,12.7,1.0,39.0
8065566522,-8.1138531,-34.955586,PV1,20 a 100m,10 a 30º,0 a 60%,Baixa,3.0,0.2,86.0
8065084022,-8.120059,-34.9503909,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.0,0.2,38.0
8063685722,-8.1172989,-34.9502808,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,14.2,0.1,51.0
8063691722,-8.126285300000001,-34.9492698,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,14.2,0.1,40.0
8079889622,-8.0130201,-34.905947,A2,20 a 100m,10 a 30º,0 a 60%,Media,1.4,0.0,59.0
8065415722,-7.990013099999999,-34.9295567,LVd4,0 a 40m,0 a 5º,0 a 15%,Baixa,3.0,0.0,33.0
8082709721,-7.992475600000001,-34.9292617,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,3.8,0.0,41.0
8064301822,-8.115611399999999,-34.9561148,PV1,20 a 100m,10 a 30º,0 a 60%,Media,0.1,0.0,90.0
8108262421,-7.9951878,-34.9347572,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,1.4,0.1,48.0
8063541522,-8.1105568,-34.93699350000001,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,14.2,0.2,7.0
8070755921,-8.0142231,-34.9241607,A2,20 a 100m,10 a 30º,0 a 60%,Media,13.4,0.2,72.0
8070532021,-7.9930038,-34.9327449,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,13.4,0.2,67.0
