processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation
8071489922,-8.1106634,-34.9456288,LVd2,20 a 100m,10 a 30º,0 a 60%,Baixa,14.5,0.1,22.0
8069748022,-8.1174233,-34.9517123,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,15.6,0.8,51.0
8063067122,-8.1230455,-34.9508061,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,14.2,0.6,32.0
8068134922,-8.1135165,-34.9569483,PV1,20 a 100m,10 a 30º,0 a 60%,Baixa,1.2,0.0,74.0
8058622022,-8.1099569,-34.9454363,LVd2,20 a 100m,10 a 30º,0 a 60%,Baixa,19.8,0.4,34.0
8068287022,-8.110854999999999,-34.9320786,LVd2,0 a 20m,0 a 5º,0 a 10%,Baixa,1.2,0.0,9.0
8056771922,-8.1109751,-34.9360743,LVd2,0 a 20m,0 a 5º,0 a 10%,Baixa,35.6,0.4,7.0
8047805122,-8.1230455,-34.9508061,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,0.6,0.0,32.0
8045362522,-8.0426019,-34.9336902,URBANO,0 a 20m,0 a 5º,0 a 10%,Baixa,10.3,0.1,12.0
8072167522,-8.1230455,-34.9508061,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,1.5,0.0,32.0
8067846522,-8.1105568,-34.93699350000001,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,1.2,0.0,7.0
8073780222,-8.1105568,-34.93699350000001,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,0.6,0.1,7.0
8074204522,-8.1221671,-34.9440894,LVd2,20 a 100m,10 a 30º,0 a 60%,Baixa,15.2,1.7,62.0
8066759122,-8.123565,-34.9557873,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,0.6,0.2,57.0
8069397322,-8.114427599999999,-34.9596488,PV1,20 a 100m,10 a 30º,0 a 60%,Baixa,8.1,0.2,38.0
8065255022,-8.1325289,-34.9471625,LVd2,20 a 100m,10 a 30º,0 a 60%,Baixa,3.0,0.0,19.0
8064445022,-8.1289205,-34.9458192,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,0.1,0.0,35.0
8059974822,-8.123887999999999,-34.9352752,LVd2,0 a 20m,0 a 5º,0 a 10%,Baixa,2.9,0.0,15.0
8061156722,-8.1137745,-34.9490349,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,26.5,0.3,81.0
8059618722,-8.125634,-34.9604396,A2,20 a 100m,10 a 30º,0 a 60%,Baixa,2.9,0.0,23.0
8059641922,-8.1219301,-34.9487028,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.0,42.0
8076675522,-8.1310572,-34.9406263,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.7,0.0,57.0
8074640022,-8.1105568,-34.93699350000001,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,12.4,0.9,7.0
8076291222,-8.114773699999999,-34.9399567,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,9.4,0.3,14.0
8075734822,-8.1094859,-34.9392257,LVd2,0 a 20m,0 a 5º,0 a 10%,Baixa,23.3,0.3,11.0
8078730322,-8.1190185,-34.9576066,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,0.6,0.1,81.0
8077517422,-8.1351414,-34.956552,A2,20 a 100m,10 a 30º,0 a 60%,Media,20.5,0.2,15.0
8054487122,-7.9585646,-34.9136395,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa,4.1,0.0,76.0
8057738522,-7.993508100000001,-34.9406262,LVd4,0 a 40m,0 a 5º,0 a 15%,Baixa,12.7,0.1,42.0
8058860922,-7.993165899999999,-34.938545,LVd4,0 a 40m,0 a 5º,0 a 15%,Baixa,19.8,1.2,38.0
8033354222,-7.9932014,-34.933495,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,3.8,0.2,39.0
8032374022,-7.996339900000001,-34.9343064,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,2.6,0.3,66.0
8030705922,-7.9967893,-34.9374423,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,5.2,0.3,59.0
8007208222,-7.965378499999999,-34.9234981,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,1.0,0.4,79.0
8006374622,-7.9629851,-34.9244848,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa,0.8,0.1,81.0
8041050021,-7.9967893,-34.9374423,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.4,0.1,59.0
8032258121,-7.9957179,-34.9546986,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,7.2,0.0,61.0
8077131922,-7.9944963,-34.9351467,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa,20.5,1.0,48.0
8064542522,-8.0041513,-34.9351464,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,0.1,0.0,72.0
8072830622,-7.9919889,-34.93332,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa,1.6,0.4,67.0
8059422522,-7.953198199999999,-34.9505943,LVd1,20 a 100m,10 a 30º,0 a 60%,Baixa,2.9,0.0,105.0
