solicitacao_bairro,processo_ocorrencia,confirmado,latitude,longitude,rain_hour,rain_day,altitude,ground_type,danger_level,flooding_risk,ground_amplitude,filtered_ocorrencia
56,9,0,-8.0081291,-34.9081953,0.0,9.0,15.0,7,1,3,1,0
57,1,0,-8.0167725,-34.92925013244986,0.5,20.9,12.0,0,1,0,1,0
64,6,1,-8.0026164,-34.9278948,0.8,31.0,45.0,5,2,3,3,1
46,12,0,-8.1222974,-34.9346714,2.4,16.0,7.0,4,1,0,1,0
45,9,0,-8.121133,-34.9347766,0.0,0.0,7.0,4,1,0,1,1
82,9,0,-8.0425107,-34.9074638,0.0,0.0,17.0,7,1,2,0,0
36,6,1,-7.9915895,-34.9178606,2.3,20.7,50.0,5,2,3,3,1
64,12,0,-8.0063048,-34.9247681,0.0,16.0,33.0,5,2,3,3,0
45,12,0,-8.1242118,-34.9462927,0.0,0.0,77.0,4,2,3,3,0
27,9,0,-8.0025633,-34.9375152,0.0,1.0,46.0,5,2,3,3,1
55,1,0,-8.1381785,-34.9321689,0.0,0.6,30.0,4,2,3,3,0
36,1,0,-7.9917412,-34.9174881,0.0,1.0,24.0,5,1,3,3,0
5,6,1,-8.0212968,-34.9081116,0.0,7.0,44.0,7,2,3,3,1
86,1,0,-8.0305158,-34.9776351,0.5,20.9,85.0,4,2,3,3,0
11,6,1,-8.0070244,-34.8883412,2.2,3.0,12.0,5,1,3,3,1
4,12,0,-8.0149843,-34.9125177,2.0,23.0,36.0,0,2,3,3,0
32,9,0,-8.0500136,-34.918878,0.0,0.0,11.0,0,1,0,0,0
36,12,0,-7.9944096,-34.9139667,4.6,123.0,38.0,5,2,3,3,0
64,6,1,-8.0023077,-34.9335591,1.0,16.0,72.0,5,2,3,3,1
64,12,0,-8.0152712,-34.9244835,0.1,16.1,50.0,0,2,3,3,0
45,6,1,-8.1139311,-34.9492827,0.8,21.0,81.0,4,1,3,3,1
64,6,1,-7.9999358,-34.9268208,0.4,1.8,66.0,5,2,3,3,1
55,9,0,-8.1312646,-34.9374056,0.0,2.0,34.0,4,2,3,3,1
56,6,1,-8.0080906,-34.9078692,1.4,50.0,15.0,7,1,3,1,1
69,9,0,-8.0959504,-34.8834122,3.0,153.0,12.0,2,1,3,0,0
45,6,1,-8.1327282,-34.9476157,0.0,0.1,19.0,4,1,3,3,1
2,6,1,-8.0124305,-34.8980337,0.0,59.0,43.0,7,2,3,3,1
60,9,0,-8.0770172,-34.9194773,1.6,5.0,8.0,2,1,0,0,0
2,9,0,-8.015094,-34.8973192,0.0,1.0,20.0,7,1,3,3,0
55,6,1,-8.1394668,-34.9326745,3.4,27.0,30.0,4,1,3,3,1
57,6,1,-8.0087001,-34.9274428,0.0,31.0,54.0,0,1,3,3,1
87,6,1,-8.0158965,-34.920902,0.1,80.2,37.0,0,1,3,3,1
36,6,1,-8.0053827,-34.9086486,0.2,3.0,43.0,7,2,3,3,1
16,9,0,-8.0827799,-34.8789567,0.0,0.0,7.0,2,1,0,0,0
43,6,1,-8.0086272,-34.9361484,0.0,15.0,20.0,0,1,3,3,1
11,6,1,-8.0070244,-34.8883412,0.9,12.8,12.0,5,1,3,3,1
64,9,0,-7.9988464,-34.9273669,,,32.0,5,0,3,3,1
8,9,0,-8.0941474,-34.9284115,0.0,1.0,13.0,2,1,2,0,0
1,9,0,-8.0845036,-34.9132087,0.0,6.0,6.0,7,1,0,1,0
67,9,0,-7.9866233,-34.9287523,1.0,11.1,47.0,5,2,3,3,0
12,9,0,-8.133342,-34.9065158,0.0,0.0,7.0,2,1,0,0,0
31,12,0,-8.0851733,-34.9699975,0.0,4.0,59.0,6,2,3,3,0
45,6,1,-8.1215632,-34.9397226,5.0,31.0,76.0,4,0,3,3,1
45,6,1,-8.1363383,-34.9537224,3.8,98.0,25.0,0,1,3,3,1
23,9,0,-8.032139,-34.8791121,,,,7,1,0,0,0
57,9,0,-8.0089677,-34.9301109,,,,0,2,3,3,1
4,6,1,-8.0129991,-34.9127978,,,,0,2,3,3,1
36,6,1,-7.9965093,-34.9208627,0.1,1.5,,5,2,3,3,1
2,6,1,-8.0148588,-34.9039956,1.1,16.1,,0,2,3,3,1
56,6,1,-7.9990249,-34.9342349,,,,5,1,3,3,1
3,12,0,-8.0225212,-34.9281015,,,,0,1,3,3,0
45,13,0,-8.1358675,-34.9521491,,,,4,1,3,3,0
45,1,0,-8.1249068,-34.9356356,,,,4,1,3,3,0
64,9,0,-8.0011878,-34.9356901,0.0,0.7,82.0,5,2,3,3,1
52,9,0,-8.0398236,-34.9373458,0.0,1.0,11.0,7,1,0,0,0
23,9,0,-8.0282874,-34.8799634,0.0,4.0,10.0,5,1,0,0,0
56,6,1,-8.0105195,-34.9073316,14.4,53.0,36.0,7,1,3,3,1
45,9,0,-8.1158337,-34.9384628,0.3,2.7,13.0,4,1,2,0,0
55,9,0,-8.128537,-34.9390545,0.0,1.0,31.0,4,2,3,3,0
52,9,0,-8.0305296,-34.9301599,0.5,26.0,8.0,0,1,0,1,0
55,9,0,-8.1323458,-34.9431064,0.6,107.0,70.0,4,1,3,3,0
87,9,0,-8.0163906,-34.9182653,0.0,3.0,56.0,7,1,3,3,0
36,1,0,-7.99967695,-34.91380530905113,6.6,84.0,69.0,5,2,3,3,0
36,6,1,-8.0037213,-34.9143027,3.0,66.0,58.0,5,2,3,3,1
2,6,1,-8.0154431,-34.8944979,0.5,20.7,42.0,7,2,3,3,1
45,6,1,-8.1286919,-34.9358207,5.4,32.0,51.0,4,2,3,3,1
43,13,0,-7.9643913,-34.9243226,0.0,3.0,81.0,5,1,3,3,0
36,13,0,-8.0125195,-34.9078144,1.6,84.0,35.0,0,2,3,3,0
36,9,0,-7.9989231,-34.9152415,0.8,69.0,42.0,5,2,3,3,1
45,6,1,-8.124568,-34.9551051,0.0,0.1,57.0,4,2,3,3,1
37,1,0,-8.0350516,-34.8923843,0.5,,9.0,7,1,0,0,0
53,12,0,-8.085051,-34.938552,0.0,0.0,10.0,2,1,0,0,0
4,6,1,-8.0143973,-34.913789,2.1,40.2,55.0,0,1,3,3,1
67,6,1,-8.1114828,-34.9615055,1.4,146.0,64.0,6,3,3,4,1
21,1,0,-8.0139731,-34.8850446,0.2,2.0,15.0,5,1,3,3,0
64,1,0,-8.005971,-34.9262559,0.0,5.0,63.0,5,1,3,3,0
35,9,0,-8.0099803,-34.9522506,0.0,1.5,28.0,0,2,3,3,1
4,6,1,-8.0149843,-34.9125177,7.0,123.0,36.0,0,2,3,3,1
56,9,0,-8.0090621,-34.9046508,1.6,32.0,28.0,7,2,3,3,0
45,1,0,-8.1246997,-34.9388878,0.0,0.0,68.0,4,2,3,3,0
45,1,0,-8.1245975,-34.957496,0.2,17.0,65.0,0,2,3,3,0
45,9,0,-8.1375763,-34.9521455,0.0,0.7,52.0,0,2,3,3,0
14,9,0,-8.0192113,-34.9064291,0.2,8.0,17.0,7,2,3,3,0
55,6,1,-8.1340722,-34.9423642,21.6,69.0,70.0,4,2,3,3,1
87,12,0,-8.0207332,-34.9217363,0.2,5.0,19.0,0,1,3,3,0
2,12,0,-8.0180294,-34.8943993,27.6,107.0,17.0,7,1,3,3,0
45,6,1,-8.120419,-34.9560682,4.4,19.0,85.0,4,1,3,3,1
58,9,0,-8.0537581,-34.9083686,1.2,22.0,12.0,7,1,0,0,0
64,6,1,-8.0030482,-34.9325432,6.6,84.0,52.0,5,2,3,3,1
35,6,1,-8.0103675,-34.954445,12.8,133.0,36.0,0,1,3,3,1
53,9,0,-8.0779357,-34.9439452,0.0,1.0,16.0,2,1,2,0,0
64,6,1,-8.0113083,-34.9239271,0.0,0.0,57.0,0,2,3,3,1
43,6,1,-7.9966528,-34.9325665,0.2,2.0,72.0,5,2,3,3,1
46,1,0,-8.1103211,-34.9418704,,,25.0,4,1,1,0,0
36,1,0,-7.9958977,-34.9205643,0.0,8.2,71.0,5,2,3,3,0
8,9,0,-8.0971445,-34.9342942,0.1,1.3,14.0,2,1,2,0,0
