processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation,cluster,PROBABILITY
8021910421,-8.000928,-34.9298604,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,1.0,0.1,35.0,27,1.0
8018633321,-7.9971886,-34.9303789,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.5,41.0,27,1.0
8027396021,-8.0031879,-34.9294482,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.4,0.0,63.0,27,1.0
8021314221,-7.9984006,-34.9326674,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,1.7,0.0,43.0,8,1.0
8012147021,-8.0048462,-34.9297081,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,3.8,0.1,61.0,27,1.0
8012293621,-8.0057656,-34.9301764,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,2.6,0.1,61.0,27,1.0
8017241421,-7.9995652,-34.9270049,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,7.8,0.1,66.0,27,1.0
8013008321,-8.0000427,-34.9250403,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,2.1,0.1,32.0,27,1.0
8003912921,-7.997349400000001,-34.9311714,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.5,0.5,41.0,27,1.0
8062745622,-8.0185465,-34.9590977,A2,20 a 100m,10 a 30º,0 a 60%,Media,7.4,0.2,16.0,29,1.0
8030608521,-7.9852151,-34.9265342,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.2,0.4,64.0,27,1.0
8060843022,-8.1208537,-34.9395867,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,2.3,0.0,76.0,14,1.0
8060029122,-8.1242138,-34.9565696,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.0,65.0,24,1.0
8073493521,-8.1174233,-34.9517123,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,2.4,0.0,51.0,24,1.0
8071522622,-8.123761199999999,-34.9535707,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,14.5,0.0,66.0,24,1.0
8031479222,-8.126430299999999,-34.9477667,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,2.1,0.0,47.0,24,1.0
8055630222,-8.0139246,-34.9602457,A2,20 a 100m,10 a 30º,0 a 60%,Media,83.0,5.2,18.0,10,0.8441278261650839
8019322121,-7.998703300000001,-34.91520089999999,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,3.7,0.0,42.0,27,1.0
8018363621,-7.9935513,-34.9157488,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.3,46.0,27,1.0
8056034422,-8.0129858,-34.904989,A2,20 a 100m,10 a 30º,0 a 60%,Media,83.0,1.1,59.0,-1,0.0
8018972221,-8.001968999999999,-34.9092179,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,3.7,0.1,55.0,27,1.0
8059612922,-8.1250004,-34.9575284,A2,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.0,43.0,22,0.6411922280620646
8048125422,-8.0119258,-34.9012722,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,3.0,0.1,57.0,26,1.0
8032167422,-8.0092197,-34.95313,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.8,0.0,28.0,29,1.0
8070521821,-8.1354531,-34.9545501,A2,20 a 100m,10 a 30º,0 a 60%,Media,13.4,0.2,14.0,22,0.6492810943868063
8045371422,-8.0120031,-34.9017141,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,10.3,0.4,57.0,26,1.0
8058648022,-7.9940303,-34.9247935,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,19.8,0.4,55.0,8,1.0
8009538022,-7.9985079,-34.9254028,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,3.5,0.0,66.0,8,0.9145542111347833
8066681222,-8.123168,-34.9521699,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,0.6,0.1,66.0,24,1.0
8029408422,-8.0148633,-34.9002368,A2,20 a 100m,10 a 30º,0 a 60%,Media,6.8,0.1,62.0,-1,0.0
8060450922,-8.1149907,-34.9564438,PV1,20 a 100m,10 a 30º,0 a 60%,Media,2.3,0.4,47.0,23,1.0
8016879322,-8.0140689,-34.9039441,A2,20 a 100m,10 a 30º,0 a 60%,Media,1.3,0.1,62.0,40,1.0
8014692322,-8.0158923,-34.8957655,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,1.8,0.2,42.0,26,0.8523505244976022
8007454322,-8.0140689,-34.9039441,A2,20 a 100m,10 a 30º,0 a 60%,Media,1.0,0.0,62.0,40,1.0
8005746722,-8.0156651,-34.8952911,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,1.6,0.2,42.0,26,0.8501828056826335
8029877422,-8.0082147,-34.9536302,A2,20 a 100m,10 a 30º,0 a 60%,Media,1.7,0.1,60.0,21,1.0
8023115721,-7.9838348,-34.9195369,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,3.2,0.0,49.0,27,1.0
8035342321,-8.1289205,-34.9458192,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,1.6,0.0,35.0,24,1.0
8081513121,-8.0146969,-34.8996746,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.4,0.1,36.0,38,0.6208463511876472
8028075122,-8.1208537,-34.9395867,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,19.1,0.1,76.0,13,1.0
8005213922,-8.0197221,-34.9409637,A2,0 a 40m,0 a 5º,0 a 15%,Media,3.0,0.4,20.0,4,0.5739254858311823
8064087821,-8.0144921,-34.8962988,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,2.1,0.1,23.0,26,1.0
8044450021,-8.0148384,-34.8963165,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.0,20.0,26,1.0
8033003721,-8.0187539,-34.9044269,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.1,26.0,26,1.0
8058142021,-8.1258296,-34.9475562,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.9,0.3,47.0,24,1.0
8015398321,-8.0027906,-34.9128564,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,0.3,0.0,58.0,27,1.0
8076978021,-8.0185465,-34.9590977,A2,20 a 100m,10 a 30º,0 a 60%,Media,3.6,0.0,16.0,29,1.0
8070144021,-8.0113726,-34.9521959,A2,20 a 100m,10 a 30º,0 a 60%,Media,15.9,1.0,21.0,29,0.9987942760755611
8012632521,-8.0002087,-34.9076406,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,2.6,0.0,51.0,27,1.0
8061287621,-8.0148278,-34.9591135,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.6,0.1,39.0,29,0.941677672046843
